Climate,Budget,Activity,Destination
tropical,medium,relaxation,"Bali, Indonesia"
tropical,high,relaxation,Maldives
tropical,medium,adventure,"Costa Rica"
tropical,low,nightlife,"Goa, India"
tropical,low,relaxation,"Phuket, Thailand"
monsoon,low,relaxation,"Kerala, India"
monsoon,low,adventure,"Cherrapunji, India"
cold,high,adventure,"Swiss Alps"
cold,high,adventure,"Hokkaido, Japan"
cold,medium,relaxation,"Banff, Canada"
temperate,medium,cultural,"Prague, Czech Republic"
temperate,high,cultural,"Kyoto, Japan"
temperate,medium,cultural,"Rome, Italy"
desert,high,nightlife,"Dubai, UAE"
desert,high,nightlife,"Las Vegas, USA"
desert,medium,cultural,"Marrakech, Morocco"
temperate,medium,nightlife,"Amsterdam, Netherlands"
cold,high,cultural,"St. Petersburg, Russia"
monsoon,medium,cultural,"Angkor Wat, Cambodia"
